,Review Title,Rating,Reviews
10,Absolute beast with no heating issues,5.0 out of 5 stars,"I have seen 888 heats a lot in youtube but with neo 6 with 870 and I am just amazed with the type of cooling this smatphone has is awesome 👍.120 hz display is so smooth that you just can't go back to 60 hz. And every app opens so fast and ram management is better than OnePlus and I mean it. This funtouch os doesn't has one touch lockscreen which I earlier used in realme, other than it I am ok with it."
11,Best phone under 30k🤩,5.0 out of 5 stars,"                    The media could not be loaded.
                "
12,All Rounder Phone under 30k range,5.0 out of 5 stars,"I see small detail very clearl in Phone (Gaming, Movies, Camera)Got for 20k with exchange and offersNo Lag or frame drops in BGMI Game…..In heavy performance taks less battery backup…..Performance is reliable and loving clearr of call quality"
13,Worst camera under flagship segment,1.0 out of 5 stars,"IQOO Neo 6 has worst camera which is like a normal midrange phone but not as flagship mobile, usually this kind of cameras comes for 15-18k price mobiles. Quick charging is good but battery drains very fast, so battery segment also failed. And no security, as per terms n conditions clearly says that our data will be shared out of region as well (data will be shared to Chinese server).This mobile is useful only for gamersAs per my view mobile price should be b't 15k-18k."
14,Call disconnects every 5 mins.,1.0 out of 5 stars,"You cannot continue a call for more than 5 minutes. Phone has call drop issue. So, I requested Amazon for replacement, but they keep on sending technicians and are not replacing the phone. It's a shame that even after spending 30,000 you cannote even properly make calls."
15,Gaming Powerhouse !!,5.0 out of 5 stars,Never felt this kind of Gaming dominance with any other Phone.No sign of heating or lagging with BGMI (3 hrs I play yesterday)Itna clear display that I could see the enemies clearly who were hide in grassI have used OnePlus Nord and Mi A3 before but this Neo 6 is something out of this world.Design - Looks like a 70-80k Phone (Like iPhone 13 Green Colour)Camera - When Vlogging I feel hardly any shaky feeling in VideoCharging - Phone was charged in hardly 20 min time. As much time as it took me to get ready in morning.Felt unbelievable!!Highly Recommended Phone from my side!!
16,BEWARE.....,1.0 out of 5 stars,"USED THIS PHONE FOR 5DAYS...I AM MENTIONING MOST IMPORTANT POINT HERE.....A PHONE WHICH WAS USED FOR ONLY 5 DAYS IS HAVING DUST INSIDE REAR CAMERA AND IT IS GROWING DAY BY DAY, I AM NOT SURE , THIS IS WITH MY HANDSET OR ANYONE ELSE IS HAVING SAME COZ NO ONE MENTIONED IT.I USE PHONE MAINLY FOR MAKING CALLS AND ALMOST 8 HOURS ON PHONE IN A DAY, THIS PHONE SCREEN LITERALLY BURNS YOUR EAR, EITHER USE BLUETOOTH OR SPEAKER.I HAVE USED IQOO7 BEFORE, TRUST ME THIS CAMERA IS NOT AT PAR WITH IQOO 7 (REAR CAMERA), THOUGH SELFIE CAMERA IS GOOD WITH BALANCED FACE TONE.SOUND IS LOUD BUT NOT DOLBY.CHARGING IS GOOD BUT BATTERY DRAINS REALLY FAST.AS PER MY KIDS SCREEN RESPONE IS NOT AS GOOD AS THEY PLAY FREE FIRE ON VIVO V11 OR HONOR 6X.BRIGHTNESS IS OKAY UNDER SUN.AS PER SPECIFACTIONS PHONE LOOKS GOOD BUT FINALLY I HAVE SETTLED FOR ONEPLUS 9 5G 8GB VARIANT, COSTED 35500 AT CROMA AFTER BANK DISCOUNT ONLINE BUYING AND USING IT FOR 5 DAYS NOW AND NO PROBLEMS SO FAR THOUGH BATTERY IS SMALL.NOW FEEDBACK FOR AMAZON....AFTER MY COMPLAINT AND TECHNICAL PERSON VISIT, HE AGREED TO NOTICE DUST IN CAMERA AND HEATING ISSUE AND IMMEDIATELY ISSUED A RETURN AND AGREED FOR REFUND.SO THANKS TO SELLER AND TEAM AMAZON FOR KIND SERVICE."
17,"Nice look, camera is also good... Fast and smooth display...overall satisfied. Go for it",5.0 out of 5 stars,
18,Camera is below average in this price range. Night photo's are too bad,2.0 out of 5 stars,Cons:Camera not at all good. Night photo's are too bad. Slow motion video output is having more and more noise.Battery life is average.Pros:Good look.Extradinory display.Sound quality is good.
19,Antutu scroe is Not 740000+ and No Extended Warranty recived.,1.0 out of 5 stars,"Total disappointment, the Antutu Score is not 740000+ as shown in the promotional image on the product page. Also, I bought it during the 2-year extended warranty offer but received only 1 year, where is the extended warranty?"
20,Didn't meet expectations,3.0 out of 5 stars,"Although it is gaming oriented phone, i expected it to have good camera quality and sound at least.My initial comparison for this device is with my pixel 4a.Compared photo qualiy- photo came out better on pixel 4a (fine since it's pixel anyways)Compared sound - this is where I am disappointed, being a gaming device sound should have better than pixel at least, but Pixel is better here as well.Also, it was 40% charged when came and got discharged to 11% within the time I set it up in next 30 min. Bit concerned for battery life as well.At this point, I am disappointed with the phone."
21,Best in the Segment | Flagship Killer,5.0 out of 5 stars,"I have got it at a jaw dropping price of 19750/-( exchange of old phone and card offers).Performance- 5/5Display - 5/5Design - 4/5 (Plastic body)Battery - 5/5 , 80W works like a pro♥️Camera - 5/5 ( just don't expect much from Ultra wide)Will edit my review after some days of usage"
22,Beast In Hand 💪,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Fully Satisfied with the purchase1. Looks superb, specially the Camera module, unique and different2. Super smooth amoled display while scrolling3. Handy and grip nicely while playing games4. Experienced the 80W FlashCharge, it's unbelievable, full device charged in just half an hr5. I have Played BGMI continuously for 2 hrs, there was no heating and lagging."
23,BGMI POWER PACKED DEVICE,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Best phone for gaming and overall satisfied with this buddy.. but while holding this one i feel like it's little slippery.. for gaming this device in this price 🔥"
24,"Honest 2 day review,and Some photo videos",3.0 out of 5 stars,"                    The media could not be loaded.
                



 Good performance butI faced two bad thing in two day's1)it is made up of some glitches like microphone not working,2)my phone is present in network area but when someone calling me then they get message that i am in out of network"
25,Not gud,1.0 out of 5 stars,Quality is not good . Display quality is bad. Fell like Mi phones. Wrong commitment of fast charging. Camera is not gud . All over not worth of money
26,iqoo 7 is still better deal,4.0 out of 5 stars,Same Camera sensor is used of Redmi note 9 pro max.So picture details of main camera is just below average. Dynamic range is good. Front camera is Decent. But iqoo 7 is far better than this. Charging time is appox same even iqoo7 has better battery backup with 4400 mAh battery. So wait for offer on iqoo7. IQOO NEO 6 is being sold because of higher promotion.That's my Genuine reviewGo for iqoo 7
27,I'm not Expecting For This for Koi Neo6.,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Now I have Purchased IQOO NEO6 12/256gb. And I'm facing heating issue and Some Time Sounds will out There is Touch Problem and Camera Focus Issues When I click A4 Paper Size Document Image. Focusing 1 side like A4 Size Left nd Right not Focus a Fully A4 Paper Size and Air Sticker options is no hlight."
28,Best killer deal,5.0 out of 5 stars,Because of offers i purchased the mobile3000 card discount1000 coupon3000 extra on exchange so total 7kWho bought for 23k and utilize all offer then this is steel deal for all 2017 on5 samsung I got 4500 when i was purchased at price of7500 so at this price point this is killer deal come to the mobileProsSD 870 best chip everE4 amoled displayDual speakers80 wats chargerAnd believe me vivo service center is best service center before i visited 2 times for my iqoo 3 and vivo z1x they treat very well compare with samsung service center
29,Black screen leak issue,3.0 out of 5 stars,"This phone have a black screen issue where it doesn't show black colour properly instead it shows some grey patch on the screen which is visible only in an dark environment. To view this problem play a black video on yt, keep your brightness at the middle in a dark room."
30,Super smooth and superb gaming experience!,5.0 out of 5 stars,It's actually a gift from a very dear friend who has been using a different product from the same brand. I just finished 2.5-3 hours of straight gaming and wow is the word for the overall gaming experience. Simply wow! I believe it was because of Qualcomm870 and 1200 Hz Touch Sampling. Good technology always makes me happy and am quite happy to be one of the first few owners of this powerful product:)
31,Best at this price,4.0 out of 5 stars,Gaming 10/10Camera 8/10Display 9/10Charging 10/10Battery backup 7/10Dual speakers 10/10The only concern is the battery. It's not giving much backup as said in the Most Unboxing videos on YouTube.
32,Just awesome Phone Under 30k performance mind-blowing,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Best performance best battery life Best camera Under 30k Is the All rounder phone don't think just close your eyes and buy this phone"
33,Smoothest experience ever,5.0 out of 5 stars,UI of Neo 6 is extremely fast. Very quick in switching AppsGives the feeling that I use OnePlus phone…………1hr BGMI Game gives no lag at all…..Vibrations feel so lifelikeTotal Value for Money!!
34,Connectivity Issues (Call drops and WiFi issues),1.0 out of 5 stars,"Beware guys. There is serious connectivity issue with this phone. Don't go over the looks as I did. The first phone I received was having call drops issue. The call was getting dropped every few minutes. Sometimes within two minutes sometimes in 5 minutes, randomly. I got it replaced and the second phone I received worked perfectly for one week when the return window was still open and then it started disconnecting from wifi and now it simply won't connect with my WiFi. Plus the call dropping issue started showing up in this new handset as well.And remember one thing while shopping online. Amazon customer support is only helpful in the ideal conditions. They will only help if they don't have to put any extra efforts other than what they are trained and wired up for. If things go south only by one degree they will simply leave you hanging out there and will simply repeat the same phrase with a puppy face ""Sorry but there's nothing we can do about it"". Doesn't matter if you are a prime or superprime member.Am more frustrated by the customer services than the phone manufacturer.It was hard earned money which I just lost to this damn junk box."
35,Beast mobile!!! Really flagship killer,5.0 out of 5 stars,Camera is just mind blowing.... Very much clear as compared to OnePlus 9R...Was too confused to go with Iqoo brand but decided to go with it considering 2 years warranty for 17000 after exchang very old mobile.. And am sure will never regret it. The best part of the mobile is camera and speed. Just go for it!!
36,Pathetic! Pathetic! Pathetic!,1.0 out of 5 stars,"Iqoo neo 6 has too much screen bleeding issue. I replaced the 1st one and the new one has more screen bleeding problem than the previous one. Screen bleeding problem is only visible when you're in a dark room and your phone has black wallpaper or black screen on it.Another problem is that you can't use two Whatsapp account simultaneously while watching youtube or any other video. If you try to do so your phone will restart autometically. And it happened not just once but everytime. Otherthan that display, battery, camera are good and sound and fingerprint sensor are on the okayish side.I tweeted Iqoo india about all these problems and got no reply from them. Then I contacted Iqoo through mail and the reply was go to service centre thats all.One more thing is that you won't see much bad reviews about the product on Amazon. This is the 2nd time I'm trying to write the review. My 1st review was declined by Amazon. Don't know whether amazon and Iqoo have partnership on selling Iqoo neo 6."
37,Best for mobile gaming,3.0 out of 5 stars,"                    The media could not be loaded.
                



 Mobile is good for gaming purpose. Battery backup is average but charging is really good 30 min full charge, geting 12 hrs backup under normal operating conditions. Got the mobile after exchanging with iPhone se and cc discount and voucher discount for 24500.Camera quality is same as oppo Vivo all that gora gora pics. Got the product delivered within 2 hrs of ordering.Too much of data collection, try to disagree the terms and conditions where it collects your data."
38,No inbuild file manager,3.0 out of 5 stars,"Iqoo neo 6 (5G) doent have a inbuild file manager . It is a major problem while sharing movies that are dowloaded from apps like telegram . they google files are present but still it is difficult to see small files/ folder . Iqoo should fix this problem , which is a major drowback in the IQOO NEO 6 5G"
39,Display,1.0 out of 5 stars,"                    The media could not be loaded.
                



 I liked the phone very much from the side of perfomance,camera.But the display disappointed me .actually it has an amoled display but my product display is worst than LCD panel I think this is an manufacturing defect.please check the quality of each and everything before sending to a customer.our time is valuable.The team send a replacement unit I will change this after using that one."
40,Awesome,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Best in all aspects"
41,Overall good Smartphone also some improvement needed,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Great performance, good camera ( can be improved), Awesome display, good haptics, battery is okey but backup not that good didn't expect that hope iqoo is fix this via ota update. Tip :- If you need Vivo dialer in iqoo Neo 6 just open your default google dialer and type *#*#556688#*#* and enable the dialer option Boom you have the Vivo dialer with auto call recording feature without any announcement.. enjoy 👍Update :- 90 FPS for BGMI unlocked 14th July."
42,Worth under 30k. Go for it,4.0 out of 5 stars,"Review After 2 week usage ( Not used for heavy gaming application)Pros:1. Fast charging & Battery Life  End of the day at least 30% battery remain after moderate usage between 8am to 6pm2. Back Camera  Picture quality is good. Color and skin tone saturation are amazing for good day light photos3. UI - Funtouch OS 12  UI is simple and awesome. After uninstalling the default unnecessary apps and controlling notification.Cons:1. Front Camera can be improved  In low light condition,  sometimes Skin tones are over saturated2. User Agreement & Permission  It asks user agreement accept for all system apps and settings. It can be onetime and in one place  during first startup"
43,Worth for price 🙂,5.0 out of 5 stars,Nice product from IQOO. I got it for 18k with bank offer and old mobile exchange. Everything is fine with this mobile. Charging is impressive. Battery okay. Camera good. Processor 🔥
44,Great mobile. No heating at all.,5.0 out of 5 stars,Pros:1. Display awesome2. Battery life & charging speed top class3. Performance - truly the best4. Haptics - the best5. Build quality - best6. Rear camera - the beast of cams.All earlier bugs cleared in latest update.Mobile perfomance 5*
45,Screen quality and smoothness👌,4.0 out of 5 stars,There is nothing to be disappointed with this mobile i got it for 18k after exchange if u get it around 25k just go for it  it's the best in the budget and in display fingerprint sensor is pretty accurate and DISPLAY IS SO SMOOTH
46,Overall phone was good.,4.0 out of 5 stars,Display color correction needs little bit improvement otherwise awesome device
47,Phone lacks to much,1.0 out of 5 stars,Phone is lack toomuch.i will try calm someone it takes 5 seconds for call back shown in screen.fingerprint is diabale sometimes we need to enter password multiple times.it shows incorrect passowrd
48,Best phone i recommend. Call issue resolved after switching off wifi calling.,5.0 out of 5 stars,"Very good mobile, got in offer at 22k after exchanging old phone (honor play), card discount and no cost emi.First time received my order after a week in Amazon. Usually I get my orders in a day from Amazon (location Bangalore)Blindly go for it if you get good offers.1) Snapdragon 870 too fast - office mail and teams works very fast than my pc. All apps opens very fast.2) Battery too fast charging - 60% in just 15 to 20 mins.3) Display - Same like my other mobile (one plus 7t) amoled screen. 120hz refresh is added advantage.4) OS - From oxygen to fun tounch I don't see much difference. In all aspects this will beat one plus.5) Camera  - Above average6) Dual speakers too load and call connectivity is also very good. You get a headphones jack adaptor as well in the box.7) Regular software updates is good from Iqoo with additional warranty. So no need to change mobile for next 3 years minimum.Overall you can order blindly without having any doubt.Edited after 15 days- Had call connection issue which is now resolved after switching off wifi calling."
49,Ok...ok,3.0 out of 5 stars,"Indoor Camera performance is very very poor. Lot of software bugs, need optimization. I'm also experiencing network issues like low speed 4g after recieving a call, call get disconnected itself, sometimes no sound from other side. Hopefully they can fix it. Phone don't connect itself to strongest wifi network.Good things are outdoor photography and selfie, sound and multimedia, battery, screen, and ofcourse the gaming performance"
50,Good phone,5.0 out of 5 stars,"Only used the phone for a day. Can't comment on long term issues.Pros:1. Phone doesn't get heated up when charging.2. Solid all rounder phone.3. AMOLED Screen is responsive with good colour reproduction.4. Battery management is good.5. Charging speed is superb.Cons:1. Too much bloatware pre-installed. BLOATWARE BLOATWARE everywhere.2. Sound is strictly okay.3. No instructions on how to claim the 2 year extended warranty.4. Camera setup is average at best. Front camera is  specially disappointing.5. Camera UI is not super intuitive.Overall, a solid phone for daily use. Can't comment on the gaming usage as I don't play them."
51,Camera is too much good,5.0 out of 5 stars,"I am writing this review after uses of 10 day and I am surprised with  this IQOO NEO 6,it's camera quality is too much good and night mode also gud , it's video at 4k is very very nice quality and seems like as  it made with DSLR and it's quality of video doesn't show much effect while uploading on social media.But its wide angle is not good as expect and depth camera is not very good it's fine (⭐⭐⭐)And 🔋 battery life is medium (⭐⭐⭐⭐)It's 80 watt fast charging is super coolIt's processor is also excellent with 120 hz refresh rate . It does not hang on playing BGMI even at 4 -5 hr of continous playing but little heats after 1 hr of playing At last iam very happy with thisAnd I recommend to buy and go through with this in this budjetIt's much better than one plus Nord 2 in camera and performance"
52,Best all-rounder value for money phone,5.0 out of 5 stars,According to the price Iqoo Neo 6 is best in the market. Got it for 27k.Using it for one week and till now not experienced any kind of problems except only few widgets are available.+ First of all phone looks premium. It's lightweight and very comfortable in hand with back cover also. Dark nova colour is a beauty.+BGMI 60 FPS constant without any frame drop played for 4+ hous continuosly. Never experienced any kind of over heating. 90 FPS not available yet.+ Camera is really good. Night mode is works great. Lots of camera features available + Amazing Battery Backup and very quick charging; 30 minutes is enough for the day.+ Great display and high contrast mode available for gaming.+ No 3.5mm jack but iqoo is providing type C to 3.5mm adaptor in the box and working perfectly fine.Recommended to hard-core gamers. Go for it
53,Beast in budget,5.0 out of 5 stars,"Don't go after YouTube marketing scams.Genuine full simple review. No bakwaas in depth details. You will read what you want to listen.in details sabke palle nahi padega.jo important hai wohi reveiw karenge , So let's come to the point.PS: Review made solely considering Price inc. of all discounts and offers.My Variant is 12Gb/256gb Nova blue*Camera*- Above average 8.5/10*Screeen Scrolling speed Hz* - super fast no lags 10/10*Gaming*- SD870  beast in this segment. 10/10*Touch response* - great 9.5/10*Display*- top notch crystal clear 10/10. *Streaming Quality*-Supports almost any of the top Quality available for high quality I have tested 2160p 295-Sidhu's played without any hiccups. 10/10*Battery Backup*- Standby mode - in 18hr just droped 13%.In moderate use - 8+hrs( YouTube, reels )Gaming use- played non stop 4hrs bgmi with 79%battery after 4hrs batter dropped at 57% so yes good very. (with Monster mode and ultra mode ON) 10/10Battery charge- Superb ❤️😍 when on 50% I charged for 15minutes to 100% great +100/1090fps- yet to come on next update.Gaming smoothness is super but with pre-installed guard I felt like my joystick movement was slow could be because i shifted from OnePlus 7T which had 90fps by default and iPad mini 5 which has bigger display and joystick button.Else gaming was par with this device.*Value for money*??- Depends on budget of each. I exchanged my 2.5yrs old ONEP PLUS 7T and got it in 18600₹ so yes value for money for me 10/10.What I suggest?  If you want it to use for Max 2yrs buy it else go with premium phones which may cost you a much more but will worth your experience but like I say everything with ultra models and iPhone series you will get best but when you come on battery backup they all suck big time.Agge aap logon ki marzi. Aapka Paisa aapka phone, dhyan se sochiye sanam. 😊❤️,✌️"
54,Excellent blindly go for it with out any hesitations,5.0 out of 5 stars,"Hey there I am reviewing this on IQOO NEO 6😉. I got this phone for 21k including exchange and bank offers. Damn this phone is a beast. It's smooth like butter. I am not really a big fan of funtouch OS,but it has improved. There are some bugs in contact saving and all but it will be rectified through updates. If you can get these phone for 26k,take it without any hesitations. It's the best value for money at this price range (26k). Camera is good, performance is top notch and battery optimisation is okk, incredible fast charging support. If u r looking for a best phone at 26k IQOO NEO6 stands out really good."
55,Flagship killer 💯🔥,5.0 out of 5 stars,"Pros :1. Display is top notch, with goood brightness, vibrant colors2. Camera performance is very goood one of the best , OIS makes videos very stable3. Fingerprint reader is very fast4. Charging is very fast5. Gaming mode is flasht and functional6. Phone feels premium to hold even tho it has a plastic back .7. The camera bumps gives it character and it stands out .8. Audio quality is good , it has dual speakers. 4/59. Vibration motor is top notch10. IR blaster is also presentCons:1. Missing headphone jack2. Front camera has a ring around it.3. Plastic back means it is prone to scratches and marks4. Animation like raise to wake , double tap to sleep / wake couldve been optimized for smother experience5. Due to fast charging the battery drains . Bear in mind with above avg gaming it is a one day phone and with mild gaming can stretch it to 1.5day.I purchased it for 21k using icici offer and exchange.OVERALL : 4.8/5"
56,IF YOU ARE LOOKING TO BUY THIS READ THE FULL REVIEW PLEASE 🙏,4.0 out of 5 stars,"I'm writing this genuinely after using this device after 3 days.First of all at this price range, it is the value for money 🤑 i bought this one for 27k.CAMERA : camera is better than average at this price range, in good lightning it'll give you very pleasant photos. It'll be crisps but it won't be the best if you compare with other devices at 30k price but the camera isn't disappointing at all and even with selfies i don't have any problem.BATTERY : the best part of this phone is battery 🔋 to be honest without playing any games it'll give you 8 hours of screen on time which is good in my opinion because at the end of the day you'll charge the phone eventually but i don't know how much SOT will be if you play the game because I've never tested that so if you're not a gamer then battery won't disappoint you.SCREEN : screen is average because some other brands at 20k produces better colours (realme, moto and redmi) refresh rate is good but multi media experience isn't the best but it's not even bad like it's not really disappointing but i would say i don't mind with this segment and brightness is really good. No problem for using in direct sunlight.UI : most disappointing feature for me personally is UI because I've switched to funtouch from realme UI and this fun touch isn't that bad but if you like oxygen, realme and one UI then you'll get disappointed. There are some bugs in the UI but it's minor so it's acceptable but trust me if UI matters for you most anything than camera, battery and screen then don't buy this one but it's not that bad if you want overall package because you'll get used it but because of storage and 120hz multi tasking is fast. There's no lag. There are just some minor bug which isn't a big problem.Design is nice 👍Changing is fast 👍 it'll charge 100% in an hour which is personally not a problem for me.Device won't get heat up much. Device feels light in hand 👍Call quality is good.Speaker is as loud as single speaker of some other brands but output is good 👍 better than many 20k phones.So in my opinion if your budget is tight at this range then this is a good option but only if you don't have many problems with the funtouch os because it's not bug which is unacceptable but there are lot of UI features and customisation features which funtouch os is missing from (oxygen, realme and one UI) but they have promised two years updates so i hope they add some more features to make experience better like other brands."
57,Awesome! except camera,4.0 out of 5 stars,"Every feature is jampacked and nicely knitted over the phone like:1. Display - Top notch be it colors, video enhancement, brightness etc2. Battery and on time display usage- Excellent3. Performance- Best in class with Qualcomm Snapdragon 8704. Gaming- Exceeded the expectations, no overheating, highly adaptive5. Sound- crisp sound with dual stereo speakersHowever, here comes the thing which totally disappointed me in this price range its the camera. The camera is not at all upto the mark, produces a lot of noise while capturing but after captured it processes it to look good but did not catch my attention . Being a premium mid range phone they could have really worked on this aspect too. Camera has some ui features that takes a jibe but quality of pics is really not what i expected to be.Verdict-- if you are a camera lover, pic, selfie addicts this phone is not for you peeps but if you are ok with the camera then it's a must go within this price range. Except Camera its value for money in the quoted price."
